"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.508565000E0,7.289840698E-1,5.653742981E-1,9.887089691E0
1.518614000E0,8.375083923E-1,5.682183838E-1,9.702074432E0
1.528664000E0,-9.165440369E-1,-9.093589783E-1,9.814490662E0
1.538714000E0,2.069147186E0,9.395960999E-1,9.716594238E0
1.548763000E0,2.538121948E0,4.590953064E-1,9.550140381E0
1.558813000E0,2.402953033E0,-2.564167786E-1,9.883347473E0
1.568863000E0,3.997736664E0,9.729766846E-2,9.851613464E0
1.578912000E0,3.817661133E0,-4.399351501E-1,9.816436615E0
1.588962000E0,4.544998627E0,-4.327500916E-1,9.875863037E0
1.599012000E0,4.059408417E0,-1.297801208E0,9.792486420E0
1.609061000E0,2.339934082E0,-1.811233521E0,9.804760895E0
1.619111000E0,1.591191101E0,-1.349294128E0,9.854158173E0
1.629161000E0,2.653981018E0,-2.649490356E-2,9.861043854E0
1.639211000E0,3.127596130E0,2.412982178E-1,9.800719299E0
1.649260000E0,2.501747589E0,-2.823129272E-1,9.816137238E0
1.659310000E0,2.539469147E0,-4.123924255E-1,9.808652802E0
1.669360000E0,2.593656464E0,-4.764591980E-1,9.726773071E0
1.679409000E0,2.613415375E0,-1.893562317E-1,9.883197784E0
1.689459000E0,1.876797180E0,-7.394622803E-2,9.712402954E0
1.699509000E0,9.654922485E-1,3.420387268E-1,9.744885406E0
1.709558000E0,1.324445801E0,4.222718811E-1,9.816137238E0
1.719608042E0,2.137105865E0,7.566764832E-1,9.760752411E0
1.729658042E0,1.897154846E0,6.469546509E-1,9.867181091E0
1.739707042E0,1.784888306E0,6.381230164E-1,9.723479919E0
1.749757042E0,5.376818848E-1,3.186872864E-1,9.767189026E0
1.759807042E0,1.208886108E0,9.849517822E-2,9.827363892E0
1.769856042E0,1.375789032E0,2.770738220E-1,9.832004242E0
1.779906042E0,1.483415222E0,6.271957397E-1,9.830207977E0
1.789956042E0,1.653311920E0,8.452922058E-1,9.743687897E0
1.800005042E0,1.644031219E0,6.129753113E-1,9.793384552E0
1.810055042E0,1.445394287E0,3.296145630E-1,9.748477936E0
1.820105042E0,1.696272583E0,2.859054565E-2,9.834249573E0
1.830155042E0,1.163680115E0,-2.522254944E-1,9.745184784E0
1.840204042E0,1.724563751E0,-8.771759033E-2,9.786798248E0
1.850254042E0,1.626367950E0,1.887574768E-1,9.779164124E0
1.860304042E0,1.074914703E0,6.586303711E-3,9.798024902E0
1.870353042E0,3.299139404E-1,-4.185296631E-1,9.835896149E0
1.880403042E0,1.816173248E0,-2.511776733E-1,9.706265717E0
1.890453042E0,1.465302887E0,-5.504054260E-1,9.816436615E0
1.900502042E0,1.030906219E0,-6.203100586E-1,9.783505096E0
1.910552042E0,5.592370605E-1,-3.891906738E-2,9.771380310E0
1.920602042E0,1.287322998E-1,3.600013733E-1,9.740394745E0
1.930651042E0,-2.113604736E-1,8.277786255E-2,9.781858521E0
1.940701042E0,3.817062378E-2,-5.164260864E-2,9.775571594E0
1.950751042E0,-5.947132874E-1,-8.217910767E-2,9.747280426E0
1.960800042E0,2.140548706E-1,4.236190796E-1,9.803264008E0
1.970850042E0,3.390449524E-1,2.404000854E-1,9.770332489E0
1.980900042E0,7.274871826E-2,-2.032772827E-1,9.740095367E0
1.990949042E0,4.418811035E-1,2.291734314E-1,9.749974823E0
2.000999042E0,-7.964936829E-1,-3.812571716E-1,9.863588562E0
2.011049042E0,1.096020813E0,-1.758842468E-1,9.692644043E0
2.021099042E0,-1.865121460E-1,-4.945715332E-1,9.839189301E0
2.031148042E0,-1.951940918E-1,2.417472839E-1,9.664203186E0
2.041198042E0,2.387385406E0,6.521937561E-1,9.864786072E0
2.051248042E0,3.698059845E0,-4.595443726E-2,9.758806458E0
2.061297042E0,1.413061523E-1,-4.772076416E-1,9.729018402E0
2.071347042E0,-2.895279236E0,-1.188977509E0,9.653874664E0
2.081397042E0,1.070723419E0,-1.616638184E-2,9.791887665E0
2.091446042E0,4.843927002E-1,4.429289246E-1,9.877509613E0
2.101496042E0,-1.250649261E0,3.454815674E-1,9.659562836E0
2.111546042E0,-8.554710388E-1,6.023474121E-1,9.716743927E0
2.121595042E0,-4.679269409E-1,1.448837128E0,9.787546692E0
2.131645042E0,-1.757495270E0,1.027762756E0,9.755662994E0
2.141695042E0,-4.525090027E-1,6.577322388E-1,9.776769104E0
2.151744042E0,-3.562591553E-2,7.165599060E-1,9.830956421E0
2.161794042E0,-1.496438141E0,8.038284302E-2,9.722432098E0
2.171844042E0,-2.133513336E0,-4.255650330E-1,9.685309296E0
2.181893042E0,-7.831713867E-1,4.213737488E-1,9.815538483E0
2.191943042E0,-2.369722137E0,-2.029779053E-1,9.614506531E0
2.201993042E0,-1.234033813E0,-3.712280273E-2,9.873318329E0
2.212043042E0,-9.764195251E-1,1.790277100E-1,9.747130737E0
2.222092042E0,-1.983525238E0,-2.170486450E-1,9.720037079E0
2.232142042E0,-1.130598907E0,6.122268677E-2,9.709109802E0
2.242192042E0,3.659889221E-1,1.874102783E-1,9.830507355E0
2.252241042E0,-2.350412292E0,-1.183888092E0,9.614356842E0
2.262291042E0,-8.184979248E-1,-3.454815674E-1,9.830956421E0
2.272341042E0,1.473086700E0,-1.332229614E-2,9.838590546E0
2.282390042E0,1.686991882E-1,-1.363813934E0,9.846374359E0
2.292440042E0,2.544708252E-2,-1.038989410E0,9.775122528E0
2.302490042E0,-8.277786255E-2,-7.933502197E-1,9.737101593E0
2.312539042E0,1.279838562E-1,-1.078207855E0,9.719138947E0
2.322589042E0,-7.463479614E-1,-1.675765228E0,9.726623383E0
2.332639042E0,4.978646851E-1,-1.460063782E0,9.780211945E0
2.342688042E0,8.446934509E-1,-7.223977661E-1,9.713450775E0
2.352738042E0,-1.044078827E0,-1.172362061E0,9.751471710E0
2.362788042E0,1.283880157E0,-6.616241455E-2,9.850865021E0
2.372837042E0,-7.677534485E-1,-1.088686066E0,9.725276184E0
2.382887042E0,1.437909851E0,-5.673202515E-1,9.620194702E0
2.392937042E0,3.963757324E-1,-7.954458618E-1,9.755363617E0
2.402987042E0,-1.956431580E-1,-9.653425598E-1,9.745484161E0
2.413036042E0,-5.465135193E-1,-5.128335571E-1,9.980196075E0
2.423086042E0,7.066804504E-1,5.670208740E-1,1.020472916E1
2.433136042E0,-7.069798279E-1,5.912704468E-2,9.366023254E0
2.443185042E0,-1.886377258E0,-8.810678101E-1,9.558672638E0
2.453235042E0,-3.070115662E-1,-3.288661194E-1,9.628128204E0
2.463285042E0,-1.009949799E0,-2.814147949E-2,9.626331940E0
2.473334042E0,-2.091450806E0,1.442999268E-1,9.393565979E0
2.483384042E0,-2.428849182E0,-1.619631958E-1,1.004800507E1
2.493434042E0,-1.420396271E0,-2.803669739E-1,9.697134705E0
2.503483042E0,-1.099912720E0,-4.751119995E-1,8.664881287E0
2.513533042E0,-3.429518280E0,-1.125659180E0,1.035935760E1
2.523583042E0,-4.640200653E0,-7.200027466E-1,1.075408676E1
