"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.860800200E-1,-9.212367237E-2,8.494520187E-2,9.799804688E0
2.881833320E-1,-9.690931439E-2,1.232303679E-1,9.847063065E0
2.902803680E-1,-8.255238086E-2,1.280160099E-1,9.784850121E0
2.924036900E-1,-7.776673883E-2,1.184447184E-1,9.746564865E0
2.945117320E-1,-9.272187948E-2,1.232303679E-1,9.698708534E0
2.966236500E-1,-1.016949639E-1,1.184447184E-1,9.756135941E0
2.987281740E-1,-5.922235921E-2,8.973085135E-2,9.765707016E0
3.008363480E-1,-6.879365444E-2,8.015955985E-2,9.761520386E0
3.029447470E-1,-5.443671346E-2,5.623133108E-2,9.756733894E0
3.050531540E-1,-4.486542568E-2,3.708875179E-2,9.766305923E0
3.071622650E-1,-3.050848842E-2,6.101697683E-2,9.766305923E0
3.092694840E-1,-3.529413417E-2,5.623133108E-2,9.775876999E0
3.113751770E-1,-6.580262445E-3,7.058826834E-2,9.746564865E0
3.134755290E-1,-5.443671346E-2,8.015955985E-2,9.747162819E0
3.155944960E-1,-5.862415582E-2,1.136590764E-1,9.780064583E0
3.177023760E-1,-6.340979785E-2,1.184447184E-1,9.818349838E0
3.198132060E-1,-6.340979785E-2,1.184447184E-1,9.770493507E0
3.219165180E-1,-4.905286431E-2,1.806581169E-1,9.812965393E0
3.240181510E-1,-2.991028316E-2,1.854437590E-1,9.726823807E0
3.261356750E-1,-5.443671346E-2,1.806581169E-1,9.645467758E0
3.282447340E-1,-7.776673883E-2,1.950150430E-1,9.750752449E0
3.303542120E-1,-7.238288224E-2,1.902294010E-1,9.832108498E0
3.324600870E-1,-2.452643216E-2,1.950150430E-1,9.808179855E0
3.345680280E-1,-2.033899166E-2,2.333002090E-1,9.731011391E0
3.366767110E-1,-2.452643216E-2,2.763710022E-1,9.773484230E0
3.387852110E-1,-1.016949583E-2,3.194418252E-1,9.682557106E0
3.408938750E-1,-2.931207791E-2,3.577269912E-1,9.748957634E0
3.430003100E-1,-2.452643216E-2,3.768695593E-1,9.715457916E0
3.451104780E-1,0.000000000E0,3.816552162E-1,9.796216011E0
3.472177160E-1,3.828516230E-2,4.486542344E-1,9.786046028E0
3.493258310E-1,3.349951655E-2,4.390829504E-1,9.700503349E0
3.514317170E-1,3.828516230E-2,4.247260094E-1,9.743574142E0
3.535426180E-1,4.307080805E-2,4.630111754E-1,9.675976753E0
3.556511580E-1,9.571290575E-3,4.247260094E-1,9.676574707E0
3.577608890E-1,-2.871387079E-2,3.864408433E-1,9.763314247E0
3.598674360E-1,-4.785645381E-2,3.337987661E-1,9.835099220E0
3.619755200E-1,-9.092725813E-2,3.870390654E-1,9.844670296E0
3.640836530E-1,-8.195417374E-2,4.007977843E-1,9.705886841E0
3.661880030E-1,-8.614161611E-2,4.348955154E-1,9.772287369E0
3.682841130E-1,-4.307080805E-2,4.534398913E-1,9.714859962E0
3.704085240E-1,-6.221338734E-2,4.438686073E-1,9.700503349E0
3.725170240E-1,-5.742774159E-2,3.672982752E-1,9.772886276E0
3.746302030E-1,-9.631111473E-2,3.104687333E-1,9.792626381E0
3.767284800E-1,-7.238288224E-2,2.859423161E-1,9.773484230E0
3.788221090E-1,-4.845465720E-2,3.050848842E-1,9.706484795E0
3.809496820E-1,-4.845465720E-2,2.907279432E-1,9.730413437E0
3.830580710E-1,-5.802594870E-2,2.955136001E-1,9.806983948E0
3.851712490E-1,-5.802594870E-2,2.763710022E-1,9.754940033E0
3.872752130E-1,-7.238288224E-2,2.524427772E-1,9.778867722E0
3.893835610E-1,-1.112662554E-1,2.291127741E-1,9.755537987E0
3.914826410E-1,-1.202393398E-1,2.817548811E-1,9.769296646E0
3.935995540E-1,-5.383851007E-2,2.859423161E-1,9.702297211E0
3.957079120E-1,-4.845465720E-2,3.672982752E-1,9.725028992E0
3.978179270E-1,-4.785645287E-3,4.295116663E-1,9.705288887E0
3.999216170E-1,-5.324030295E-2,4.247260094E-1,9.647860527E0
4.020223960E-1,-1.004985496E-1,5.114658475E-1,9.704689980E0
4.041407220E-1,-8.075776696E-2,5.210371017E-1,9.752547264E0
4.062491710E-1,-5.264209956E-2,4.725824594E-1,9.781260490E0
4.083605210E-1,5.982056609E-4,4.821537733E-1,9.819545746E0
4.104626830E-1,5.982056609E-4,5.539384484E-1,9.766305923E0
4.125609410E-1,1.974078640E-2,5.635097623E-1,9.766305923E0
4.146717900E-1,5.383851007E-3,5.539384484E-1,9.809376717E0
4.167906450E-1,3.948157281E-2,6.017948985E-1,9.827920914E0
4.189009360E-1,6.819544733E-2,6.592226624E-1,9.750752449E0
4.210090400E-1,4.965107143E-2,7.310073376E-1,9.778867722E0
4.231148540E-1,-1.316052489E-2,7.740781307E-1,9.668798447E0
4.252241780E-1,-3.230310604E-2,7.890332937E-1,9.711270332E0
