Force 1,Force 2
688.037109375,1708.0078125
696.09375,1708.0078125
701.7333984375,1712.841796875
705.76171875,1711.23046875
709.7900390625,1714.453125
715.4296875,1717.67578125
719.4580078125,1719.287109375
725.09765625,1716.064453125
729.1259765625,1714.453125
729.1259765625,1719.287109375
716.2353515625,1714.453125
729.931640625,1719.287109375
738.7939453125,1724.9267578125
742.822265625,1722.509765625
731.54296875,1703.9794921875
735.5712890625,1698.33984375
746.8505859375,1696.728515625
753.2958984375,1695.9228515625
762.9638671875,1693.505859375
773.4375,1693.505859375
775.8544921875,1687.8662109375
776.66015625,1675.78125
783.9111328125,1680.615234375
791.9677734375,1683.0322265625
803.2470703125,1687.8662109375
806.4697265625,1690.283203125
809.6923828125,1690.283203125
815.33203125,1693.505859375
818.5546875,1695.1171875
821.77734375,1699.1455078125
821.77734375,1700.7568359375
823.388671875,1702.3681640625
827.4169921875,1703.173828125
831.4453125,1704.78515625
833.056640625,1707.2021484375
829.833984375,1709.619140625
831.4453125,1708.8134765625
835.4736328125,1712.841796875
837.890625,1717.67578125
833.8623046875,1716.8701171875
831.4453125,1717.67578125
831.4453125,1719.287109375
829.833984375,1720.8984375
824.1943359375,1720.0927734375
813.720703125,1724.12109375
803.2470703125,1726.5380859375
804.052734375,1729.7607421875
801.6357421875,1726.5380859375
779.8828125,1723.3154296875
758.935546875,1720.8984375
746.044921875,1717.67578125
740.4052734375,1716.064453125
722.6806640625,1720.0927734375
713.0126953125,1719.287109375
717.8466796875,1719.287109375
722.6806640625,1717.67578125
725.9033203125,1720.8984375
727.5146484375,1722.509765625
719.4580078125,1724.9267578125
709.7900390625,1724.9267578125
712.20703125,1725.732421875
713.0126953125,1728.955078125
713.818359375,1730.56640625
718.65234375,1731.3720703125
723.486328125,1733.7890625
717.8466796875,1734.5947265625
717.8466796875,1739.4287109375
718.65234375,1739.4287109375
713.0126953125,1739.4287109375
707.373046875,1743.45703125
706.5673828125,1745.068359375
702.5390625,1746.6796875
697.705078125,1745.8740234375
695.2880859375,1745.8740234375
693.6767578125,1745.068359375
687.2314453125,1741.0400390625
687.2314453125,1745.068359375
687.2314453125,1749.0966796875
693.6767578125,1749.0966796875
701.7333984375,1749.90234375
703.3447265625,1750.7080078125
704.9560546875,1753.9306640625
715.4296875,1754.736328125
718.65234375,1753.125
720.263671875,1752.3193359375
722.6806640625,1751.513671875
721.875,1752.3193359375
723.486328125,1752.3193359375
725.09765625,1750.7080078125
723.486328125,1752.3193359375
724.2919921875,1753.9306640625
721.0693359375,1753.9306640625
721.0693359375,1755.5419921875
720.263671875,1757.958984375
722.6806640625,1757.1533203125
721.875,1758.7646484375
725.9033203125,1759.5703125
728.3203125,1758.7646484375
728.3203125,1758.7646484375
729.1259765625,1758.7646484375
729.931640625,1758.7646484375
735.5712890625,1761.9873046875
740.4052734375,1759.5703125
742.822265625,1759.5703125
746.044921875,1759.5703125
746.8505859375,1760.3759765625
749.267578125,1761.181640625
754.9072265625,1762.79296875
757.32421875,1762.79296875
763.76953125,1756.34765625
771.0205078125,1756.34765625
775.048828125,1756.34765625
777.4658203125,1753.9306640625
780.6884765625,1754.736328125
781.494140625,1756.34765625
785.5224609375,1755.5419921875
787.1337890625,1752.3193359375
790.3564453125,1753.9306640625
792.7734375,1753.9306640625
795.1904296875,1753.9306640625
797.607421875,1754.736328125
795.99609375,1753.9306640625
794.384765625,1748.291015625
797.607421875,1753.125
797.607421875,1751.513671875
800.830078125,1755.5419921875
799.21875,1754.736328125
798.4130859375,1750.7080078125
799.21875,1751.513671875
796.8017578125,1748.291015625
798.4130859375,1749.90234375
798.4130859375,1750.7080078125
800.830078125,1751.513671875
801.6357421875,1747.4853515625
807.275390625,1747.4853515625
809.6923828125,1749.0966796875
812.109375,1749.90234375
816.1376953125,1752.3193359375
817.7490234375,1752.3193359375
820.9716796875,1753.9306640625
820.9716796875,1756.34765625
823.388671875,1755.5419921875
822.5830078125,1757.1533203125
822.5830078125,1757.958984375
824.1943359375,1759.5703125
823.388671875,1757.958984375
821.77734375,1759.5703125
820.9716796875,1760.3759765625
820.166015625,1761.181640625
818.5546875,1759.5703125
818.5546875,1758.7646484375
814.5263671875,1758.7646484375
813.720703125,1759.5703125
811.3037109375,1758.7646484375
808.88671875,1759.5703125
807.275390625,1758.7646484375
805.6640625,1762.79296875
804.052734375,1761.9873046875
797.607421875,1761.181640625
796.8017578125,1758.7646484375
795.1904296875,1760.3759765625
793.5791015625,1761.181640625
789.55078125,1761.181640625
790.3564453125,1761.9873046875
788.7451171875,1761.9873046875
789.55078125,1763.5986328125
788.7451171875,1762.79296875
788.7451171875,1761.9873046875
789.55078125,1761.9873046875
787.939453125,1763.5986328125
784.716796875,1764.404296875
780.6884765625,1766.8212890625
780.6884765625,1767.626953125
779.0771484375,1768.4326171875
775.048828125,1767.626953125
767.7978515625,1766.015625
760.546875,1766.015625
760.546875,1766.8212890625
755.712890625,1764.404296875
749.267578125,1765.2099609375
745.2392578125,1766.015625
738.7939453125,1765.2099609375
734.765625,1766.015625
729.1259765625,1766.8212890625
727.5146484375,1769.23828125
728.3203125,1771.6552734375
727.5146484375,1770.849609375
725.9033203125,1770.0439453125
724.2919921875,1773.2666015625
721.0693359375,1773.2666015625
721.0693359375,1774.072265625
722.6806640625,1772.4609375
721.0693359375,1773.2666015625
724.2919921875,1774.072265625
719.4580078125,1776.4892578125
719.4580078125,1775.68359375
716.2353515625,1776.4892578125
717.041015625,1775.68359375
716.2353515625,1778.1005859375
715.4296875,1774.8779296875
714.6240234375,1772.4609375
712.20703125,1770.0439453125
705.76171875,1766.8212890625
