"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.124734792E0,-2.105282687E-2,2.450282571E-2,-4.545157671E-2,5.576249468E-2
1.134785792E0,-2.635719250E-2,2.045993747E-2,-2.165165484E-2,3.977568095E-2
1.144835792E0,-9.826264177E-3,1.756731075E-2,-3.662228107E-2,4.178944060E-2
1.154886792E0,-1.755731567E-2,2.935875559E-2,-3.362733722E-2,4.796867386E-2
1.164937792E0,3.556541512E-3,3.781831076E-2,2.023136616E-4,3.798571504E-2
1.174987792E0,2.550420251E-2,2.927398695E-2,-3.676963091E-2,5.347369834E-2
1.185038792E0,3.373303478E-2,2.428353685E-2,-2.135169268E-2,4.672796355E-2
1.195088792E0,3.452996459E-2,2.648981694E-2,-1.326850176E-2,4.549815376E-2
1.205139792E0,2.013560886E-2,2.166483848E-2,-3.721694291E-2,4.753849819E-2
1.215189792E0,-9.023368377E-3,2.371935135E-2,-2.823328078E-2,3.796244129E-2
1.225240792E0,-1.173879705E-2,1.940423867E-2,-3.811156690E-2,4.434879216E-2
1.235290792E0,-1.938525578E-3,3.035245791E-2,-4.529545605E-2,5.455921482E-2
1.245341792E0,-5.304146362E-3,3.708903735E-2,-3.556510448E-2,5.165856480E-2
1.255391792E0,3.033188302E-3,4.230299726E-2,-3.646382153E-2,5.593169128E-2
1.265442792E0,-2.384467134E-3,3.948966427E-2,-1.610674024E-2,4.271470881E-2
1.275493792E0,5.783444457E-3,3.649391185E-2,-1.565884352E-2,4.013045243E-2
1.285543792E0,7.212631870E-4,2.607733242E-2,-2.748600662E-2,3.789496070E-2
1.295594792E0,-6.377393659E-4,1.244149762E-2,-4.425114334E-2,4.597130911E-2
1.305644792E0,-2.766685917E-2,7.723660246E-3,-5.038779616E-2,5.800034505E-2
1.315695792E0,-4.157359365E-2,7.522717025E-4,-2.179900467E-2,4.694812251E-2
1.325745792E0,-4.235760477E-2,1.982453699E-2,-2.928402543E-2,5.517910016E-2
1.335796792E0,-3.787984357E-2,2.746378491E-2,-3.617087603E-2,5.913944795E-2
1.345846792E0,-2.659193994E-2,2.523735249E-2,-2.823678911E-2,4.627495531E-2
1.355897792E0,-1.966380252E-2,2.353373195E-2,-4.335242629E-2,5.310305579E-2
1.365947792E0,3.960045073E-3,2.698521315E-2,-4.784133375E-2,5.506974578E-2
1.375998792E0,2.497823632E-2,2.847883414E-2,-3.122062325E-2,4.908852819E-2
1.386048792E0,9.347413760E-3,3.157071844E-2,-3.420738101E-2,4.747872494E-2
1.396099792E0,6.587253883E-4,2.467198384E-2,-2.671475887E-2,3.637057942E-2
1.406150792E0,-2.962363902E-3,3.531690617E-2,-2.536171317E-2,4.358068329E-2
1.416200792E0,-1.906073531E-3,3.008033169E-2,-2.880046070E-2,4.168843973E-2
1.426251792E0,-4.906709287E-3,2.277305944E-2,-2.235975266E-2,3.229003826E-2
1.436301792E0,1.674263407E-2,2.201258336E-2,-1.083430588E-2,2.970272388E-2
1.446352792E0,1.638827453E-2,2.584626234E-2,-1.712181687E-2,3.506795449E-2
1.456402792E0,1.902093770E-2,2.250765752E-2,-2.655279100E-2,3.966662864E-2
1.466453792E0,-5.000283010E-5,2.718139409E-2,-1.697563648E-2,3.204688626E-2
1.476503792E0,-5.171387158E-3,3.361072747E-2,-1.877657890E-2,3.884564534E-2
1.486554792E0,-1.390162731E-2,2.836002375E-2,-4.887102842E-2,5.818868969E-2
1.496604792E0,-2.536868415E-2,2.688184763E-2,-2.746904969E-2,4.605162927E-2
1.506655792E0,-1.822067315E-2,2.150784303E-2,-2.432792544E-2,3.723477136E-2
1.516705792E0,-3.324442682E-2,1.880386667E-2,-4.304018497E-2,5.754333010E-2
1.526756792E0,-1.270915163E-2,2.342069796E-2,-3.376182318E-2,4.301060721E-2
1.536807792E0,-1.547007895E-2,2.429175950E-2,-3.002018988E-2,4.160077791E-2
1.546857792E0,-1.944024702E-2,3.146593679E-2,-3.226669014E-2,4.908327286E-2
1.556908792E0,-1.367945138E-2,2.698605597E-2,-2.897470772E-2,4.189162559E-2
1.566958792E0,-8.664550334E-3,2.328622570E-2,-3.062245309E-2,3.943421577E-2
1.577009792E0,-2.242562519E-3,2.347507706E-2,-1.775156200E-2,2.951654253E-2
1.587059792E0,-7.001858018E-3,2.214767003E-2,-5.652035594E-2,6.110724948E-2
1.597110792E0,1.202236874E-2,2.427007912E-2,-1.296269238E-2,3.002674615E-2
1.607160792E0,8.525697235E-3,3.290289461E-2,-3.811156690E-2,5.106642261E-2
1.617211792E0,1.058325933E-2,2.935268910E-2,-4.095799148E-2,5.148924938E-2
1.627261792E0,-2.477912949E-3,3.238382631E-2,-2.778538406E-2,4.274201477E-2
1.637312792E0,-5.469193161E-3,2.647818647E-2,-4.649705887E-2,5.378645662E-2
1.647362792E0,-4.377700724E-3,2.971913593E-2,-3.691639602E-2,4.759423914E-2
1.657413792E0,-1.033845286E-2,3.095484903E-2,-2.059974074E-2,3.859320672E-2
1.667463792E0,-1.677751637E-2,2.173919862E-2,-3.362499833E-2,4.341334271E-2
1.677514792E0,-1.347933043E-2,3.103282028E-2,-2.359643877E-2,4.124948734E-2
1.687565792E0,-1.151347825E-2,2.586318500E-2,-3.766717851E-2,4.711985629E-2
1.697615792E0,-1.524068537E-2,2.290979064E-2,-1.581437945E-2,3.173691219E-2
1.707666792E0,-1.606335207E-2,1.777515300E-2,-3.377410233E-2,4.140866253E-2
1.717716792E0,-8.381006056E-3,2.137800058E-2,-3.676904619E-2,4.335000495E-2
1.727767792E0,6.986143626E-4,1.822206643E-2,-2.628966630E-2,3.199497337E-2
1.737817792E0,-4.779340485E-3,3.083375685E-2,-4.170701981E-2,5.208683287E-2
1.747868792E0,-1.510783480E-3,2.956012136E-2,-2.808593094E-2,4.080321995E-2
1.757918792E0,5.952374171E-4,1.499345550E-2,-4.125795364E-2,4.390189921E-2
1.767969792E0,-2.205240838E-3,1.720094957E-2,-3.212635696E-2,3.650806164E-2
