"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.081287875E0,1.917443442E-1,-2.279502304E-1,-5.613911748E-2,3.031151623E-1
1.091338000E0,1.452824600E-1,-3.288745248E-1,-4.278290749E-2,3.620715722E-1
1.101388000E0,9.308672301E-2,-3.026593374E-1,-2.838589311E-2,3.179206999E-1
1.111438000E0,4.185488127E-2,-2.030456051E-1,-3.224622488E-2,2.098074542E-1
1.121488000E0,3.461752664E-3,-1.128544232E-1,-5.359967172E-2,1.249841165E-1
1.131538000E0,-4.548750054E-3,1.114007872E-2,-6.460471630E-2,6.571576561E-2
1.141588000E0,4.198447019E-3,-2.067812998E-3,-7.003210187E-2,7.018830458E-2
1.151638000E0,-9.874156527E-3,-6.775406320E-3,-5.388735473E-2,5.520192114E-2
1.161688000E0,-2.693702616E-2,-1.617020080E-2,-3.832615972E-2,4.955777730E-2
1.171738000E0,-1.460734969E-2,7.351594605E-4,-5.629289925E-2,5.816189157E-2
1.181789000E0,-8.163115047E-3,1.508187865E-2,5.191158056E-3,1.791780212E-2
1.191839000E0,-1.541868741E-2,1.251989370E-2,-7.162839174E-4,1.987452446E-2
1.201889000E0,-1.328229753E-2,3.380622547E-3,-6.197463870E-3,1.504182818E-2
1.211939000E0,-6.615748096E-2,1.656350828E-1,-1.871986091E-2,1.793383008E-1
1.221989000E0,-1.594780012E-1,4.725478493E-1,-4.022182703E-2,5.003523739E-1
1.232039000E0,-6.657047711E-2,1.921937393E-1,-5.168061554E-2,2.098593526E-1
1.242089000E0,-1.393329363E-2,-1.601916539E-1,-2.752459824E-2,1.631352389E-1
1.252139000E0,7.745276671E-3,-1.128062111E-1,-9.842033386E-3,1.134993225E-1
1.262189000E0,3.226747585E-2,-1.017773300E-1,-1.155994534E-3,1.067761735E-1
1.272240000E0,6.806634106E-3,-5.311439850E-2,-4.365297318E-2,6.908727570E-2
1.282290000E0,-4.864048367E-2,1.230222744E-1,-2.731819153E-2,1.350801993E-1
1.292340000E0,-7.572005399E-2,2.296260607E-1,-4.060306549E-2,2.451739449E-1
1.302390000E0,-7.183357419E-2,2.290694606E-1,-3.204741955E-2,2.421980951E-1
1.312440000E0,-2.772338530E-2,9.993309991E-2,-2.141952038E-2,1.058962058E-1
1.322490000E0,8.261457905E-3,3.657557644E-2,-4.955281377E-2,6.214101569E-2
1.332540000E0,8.644724619E-3,5.522552658E-2,-1.499459982E-2,5.787424361E-2
1.342590000E0,5.022160733E-2,2.098673871E-1,-1.428591728E-2,2.162651554E-1
1.352640000E0,1.934659107E-2,1.783745942E-1,-5.413235307E-2,1.874089062E-1
1.362691000E0,-3.578799304E-2,-2.236363557E-1,-1.436017692E-2,2.269365875E-1
1.372741000E0,2.422685998E-2,-3.821675831E-1,-1.845205843E-2,3.833790302E-1
1.382791000E0,3.949878227E-2,-4.581657453E-1,-4.049956977E-2,4.616451225E-1
1.392841000E0,2.803849541E-2,-3.018919817E-1,-3.424421847E-2,3.051189806E-1
1.402891000E0,-2.130526213E-2,-7.478024198E-2,-1.526474118E-2,7.924021143E-2
1.412941000E0,-3.751641171E-2,5.319586666E-2,-2.846424580E-2,7.104572237E-2
1.422991000E0,-3.508442681E-2,4.762748097E-2,-2.879695237E-2,6.579178075E-2
1.433041000E0,-3.591553543E-2,1.421014102E-2,-2.868000805E-2,4.810817659E-2
1.443091000E0,-8.606096450E-3,-6.404961454E-2,-3.813378632E-2,7.503734855E-2
1.453142000E0,-9.937343001E-3,-8.785083376E-2,-3.874365091E-2,9.652766580E-2
1.463192000E0,8.774094265E-3,-9.811441485E-2,-4.384183824E-2,1.078217506E-1
1.473242000E0,-2.646285351E-3,-2.908883806E-2,-3.531367421E-2,4.582814542E-2
1.483292000E0,-1.889308468E-2,-1.315084482E-3,-2.752693713E-2,3.341272757E-2
1.493342000E0,-1.264944607E-2,-1.287266353E-2,-3.679652810E-2,4.098412415E-2
1.503392000E0,-1.300018765E-2,-2.815480018E-3,-3.573525846E-2,3.813057177E-2
1.513442000E0,-4.399865326E-3,-8.884478733E-3,-2.644227862E-2,2.823981013E-2
1.523492000E0,-1.018402241E-2,-1.234486096E-2,-3.496284127E-2,3.845140016E-2
1.533542000E0,-1.792664956E-2,-8.720144564E-3,-3.478684008E-2,4.009401363E-2
1.543592000E0,-1.993754357E-2,-7.325117681E-3,-3.461727083E-2,4.061426390E-2
1.553643000E0,-2.622059606E-2,1.044849928E-2,2.057869077E-2,3.493097921E-2
1.563693000E0,-4.334438637E-2,2.775243865E-3,8.163648605E-2,9.247136672E-2
1.573743000E0,-3.465275612E-2,1.503145555E-2,7.911048889E-2,8.766542999E-2
1.583793000E0,-5.480746893E-2,2.689853503E-2,7.373982131E-2,9.573375102E-2
1.593843000E0,1.034623879E-1,-5.263422333E-2,-5.679418105E-1,5.796832991E-1
1.603893000E0,-1.211597901E-3,-4.093458435E-2,-1.610463524E-1,1.661717057E-1
1.613943000E0,-9.880997770E-2,4.368126822E-2,3.271891379E-1,3.445637776E-1
1.623993000E0,-3.759984417E-2,3.150799563E-2,1.102363873E-1,1.206588710E-1
1.634043000E0,-4.929586519E-2,5.203058967E-2,1.346005654E-1,1.524945140E-1
1.644094000E0,-5.890918108E-2,7.262991015E-3,1.079115343E-1,1.231581986E-1
1.654144000E0,6.791268719E-2,-5.759902105E-2,-5.714425385E-1,5.783393079E-1
1.664194000E0,2.812529001E-2,-3.768750672E-2,-1.779962611E-1,1.841033652E-1
1.674244000E0,-5.910663424E-2,7.058667373E-3,2.519079906E-1,2.588456195E-1
1.684294000E0,-2.410843559E-3,1.115005553E-2,-1.423680067E-1,1.428243160E-1
