"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.439160370E-1,4.276056774E-3,-1.069014193E-3,-2.565634064E-2
2.460314140E-1,5.497787148E-3,-2.290744567E-3,-3.176499158E-2
2.481305660E-1,6.719517522E-3,-4.734205548E-3,-3.665191308E-2
2.502385680E-1,6.566801574E-3,-1.084285788E-2,-4.276056588E-2
2.523442910E-1,9.010262787E-3,-1.450804994E-2,-4.764748737E-2
2.544552630E-1,9.010262787E-3,-1.695151068E-2,-5.253441259E-2
2.565642930E-1,8.857546374E-3,-2.046398632E-2,-5.497787148E-2
2.586718780E-1,8.857546374E-3,-1.924225502E-2,-5.742133409E-2
2.607808050E-1,7.635815535E-3,-1.802052557E-2,-5.864306539E-2
2.628876770E-1,5.192354787E-3,-1.802052557E-2,-5.742133409E-2
2.649963000E-1,5.345070735E-3,-1.328631863E-2,-5.497787148E-2
2.671045260E-1,4.123340361E-3,-1.206458826E-2,-5.238169432E-2
2.692103100E-1,4.123340361E-3,-1.084285788E-2,-4.642575979E-2
2.713110380E-1,4.276056774E-3,-4.734205548E-3,-4.031710699E-2
2.734301780E-1,3.054326167E-3,1.527163113E-4,-3.298672289E-2
2.755374570E-1,3.054326167E-3,3.665191587E-3,-2.687807009E-2
2.776458250E-1,7.635815418E-4,6.108652335E-3,-1.954768784E-2
2.797433600E-1,7.635815418E-4,8.552113548E-3,-1.588249579E-2
2.818606390E-1,-4.581489484E-4,7.330383174E-3,-1.221730467E-2
2.839688850E-1,7.635815418E-4,8.552113548E-3,-1.099557430E-2
2.860800200E-1,7.635815418E-4,7.330383174E-3,-1.221730467E-2
2.881833320E-1,-4.581489484E-4,9.773843922E-3,-1.221730467E-2
2.902803680E-1,-4.581489484E-4,1.343903504E-2,-1.466076635E-2
2.924036900E-1,7.635815418E-4,1.099557430E-2,-1.466076635E-2
2.945117320E-1,-4.581489484E-4,1.221730467E-2,-1.588249579E-2
2.966236500E-1,-4.581489484E-4,9.773843922E-3,-1.710422710E-2
2.987281740E-1,-4.581489484E-4,1.221730467E-2,-1.710422710E-2
3.008363480E-1,-1.679879380E-3,1.099557430E-2,-1.695151068E-2
3.029447470E-1,-4.581489484E-4,8.552113548E-3,-1.588249579E-2
3.050531540E-1,-1.679879380E-3,9.773843922E-3,-1.572977938E-2
3.071622650E-1,-1.679879380E-3,9.773843922E-3,-1.343903504E-2
3.092694840E-1,-4.581489484E-4,1.221730467E-2,-1.099557430E-2
3.113751770E-1,-1.679879380E-3,1.099557430E-2,-9.773843922E-3
3.134755290E-1,-1.679879380E-3,9.773843922E-3,-9.773843922E-3
3.155944960E-1,-4.123340361E-3,1.099557430E-2,-8.399397135E-3
3.177023760E-1,-2.901609987E-3,1.221730467E-2,-8.552113548E-3
3.198132060E-1,-2.901609987E-3,1.343903504E-2,-8.552113548E-3
3.219165180E-1,-4.123340361E-3,1.588249579E-2,-1.206458826E-2
3.240181510E-1,-2.901609987E-3,1.343903504E-2,-1.206458826E-2
3.261356750E-1,-2.901609987E-3,1.221730467E-2,-1.328631863E-2
3.282447340E-1,-4.123340361E-3,9.773843922E-3,-1.572977938E-2
3.303542120E-1,-5.345070735E-3,1.099557430E-2,-1.939497143E-2
3.324600870E-1,-2.901609987E-3,1.588249579E-2,-1.939497143E-2
3.345680280E-1,-4.123340361E-3,1.343903504E-2,-2.306016348E-2
3.366767110E-1,-4.123340361E-3,1.343903504E-2,-2.550362423E-2
3.387852110E-1,-2.901609987E-3,1.343903504E-2,-2.916881628E-2
3.408938750E-1,-1.679879380E-3,1.099557430E-2,-3.405573592E-2
3.430003100E-1,-3.054326167E-3,1.099557430E-2,-4.016438872E-2
3.451104780E-1,-3.054326167E-3,1.099557430E-2,-4.505131021E-2
3.472177160E-1,-3.054326167E-3,1.099557430E-2,-5.360342562E-2
3.493258310E-1,-1.832595794E-3,9.773843922E-3,-5.849034712E-2
