Force 1,Force 2
775.048828125,1416.357421875
775.048828125,1417.96875
775.8544921875,1417.1630859375
776.66015625,1418.7744140625
778.271484375,1417.96875
779.8828125,1418.7744140625
781.494140625,1419.580078125
782.2998046875,1418.7744140625
781.494140625,1421.19140625
783.10546875,1421.9970703125
783.10546875,1423.6083984375
783.10546875,1421.9970703125
784.716796875,1425.2197265625
785.5224609375,1424.4140625
786.328125,1426.025390625
789.55078125,1425.2197265625
789.55078125,1427.63671875
791.162109375,1428.4423828125
792.7734375,1429.248046875
790.3564453125,1430.0537109375
792.7734375,1429.248046875
794.384765625,1431.6650390625
791.9677734375,1430.0537109375
794.384765625,1431.6650390625
794.384765625,1433.2763671875
795.99609375,1433.2763671875
797.607421875,1434.8876953125
799.21875,1434.08203125
796.8017578125,1434.8876953125
799.21875,1434.08203125
800.830078125,1436.4990234375
800.0244140625,1437.3046875
800.0244140625,1436.4990234375
801.6357421875,1437.3046875
801.6357421875,1435.693359375
800.830078125,1436.4990234375
800.830078125,1436.4990234375
802.44140625,1437.3046875
802.44140625,1438.916015625
804.052734375,1436.4990234375
804.052734375,1438.1103515625
804.8583984375,1438.1103515625
802.44140625,1438.916015625
804.052734375,1439.7216796875
806.4697265625,1440.52734375
806.4697265625,1439.7216796875
807.275390625,1440.52734375
807.275390625,1442.9443359375
807.275390625,1444.5556640625
806.4697265625,1442.9443359375
808.88671875,1443.75
809.6923828125,1442.9443359375
808.88671875,1442.9443359375
810.498046875,1443.75
811.3037109375,1442.9443359375
811.3037109375,1444.5556640625
811.3037109375,1443.75
813.720703125,1444.5556640625
813.720703125,1446.1669921875
815.33203125,1444.5556640625
812.109375,1445.361328125
812.9150390625,1445.361328125
814.5263671875,1445.361328125
814.5263671875,1446.97265625
816.1376953125,1447.7783203125
816.943359375,1448.583984375
817.7490234375,1446.97265625
818.5546875,1447.7783203125
818.5546875,1449.3896484375
819.3603515625,1447.7783203125
818.5546875,1447.7783203125
816.943359375,1446.97265625
816.943359375,1446.97265625
816.943359375,1444.5556640625
816.943359375,1446.1669921875
817.7490234375,1443.75
816.1376953125,1444.5556640625
816.943359375,1446.1669921875
817.7490234375,1445.361328125
819.3603515625,1446.1669921875
818.5546875,1446.97265625
819.3603515625,1446.1669921875
820.166015625,1448.583984375
818.5546875,1448.583984375
819.3603515625,1447.7783203125
817.7490234375,1447.7783203125
816.943359375,1447.7783203125
816.943359375,1448.583984375
818.5546875,1447.7783203125
820.9716796875,1449.3896484375
820.166015625,1451.806640625
821.77734375,1451.806640625
820.166015625,1449.3896484375
818.5546875,1447.7783203125
820.166015625,1448.583984375
820.166015625,1449.3896484375
821.77734375,1450.1953125
822.5830078125,1449.3896484375
821.77734375,1450.1953125
820.166015625,1448.583984375
817.7490234375,1443.75
817.7490234375,1445.361328125
818.5546875,1444.5556640625
817.7490234375,1444.5556640625
816.1376953125,1442.9443359375
814.5263671875,1436.4990234375
810.498046875,1426.025390625
806.4697265625,1420.3857421875
804.8583984375,1420.3857421875
804.052734375,1423.6083984375
805.6640625,1421.9970703125
807.275390625,1425.2197265625
807.275390625,1426.8310546875
808.0810546875,1426.025390625
807.275390625,1426.025390625
808.88671875,1426.8310546875
809.6923828125,1427.63671875
808.88671875,1427.63671875
808.0810546875,1426.8310546875
809.6923828125,1426.025390625
810.498046875,1429.248046875
810.498046875,1429.248046875
812.109375,1429.248046875
810.498046875,1428.4423828125
808.88671875,1426.025390625
807.275390625,1423.6083984375
805.6640625,1422.802734375
804.052734375,1420.3857421875
804.8583984375,1420.3857421875
804.8583984375,1421.19140625
806.4697265625,1419.580078125
807.275390625,1422.802734375
805.6640625,1421.9970703125
805.6640625,1420.3857421875
803.2470703125,1417.1630859375
804.8583984375,1417.96875
804.052734375,1417.96875
803.2470703125,1419.580078125
805.6640625,1418.7744140625
807.275390625,1420.3857421875
808.88671875,1422.802734375
808.0810546875,1422.802734375
808.88671875,1422.802734375
806.4697265625,1422.802734375
808.88671875,1424.4140625
810.498046875,1426.8310546875
809.6923828125,1426.8310546875
812.109375,1427.63671875
811.3037109375,1427.63671875
812.109375,1429.248046875
811.3037109375,1429.248046875
812.9150390625,1429.248046875
812.9150390625,1430.859375
814.5263671875,1430.0537109375
815.33203125,1430.0537109375
813.720703125,1429.248046875
812.9150390625,1429.248046875
811.3037109375,1426.8310546875
808.0810546875,1424.4140625
805.6640625,1421.19140625
804.052734375,1417.1630859375
804.052734375,1415.5517578125
802.44140625,1412.3291015625
801.6357421875,1409.1064453125
796.8017578125,1404.2724609375
792.7734375,1402.6611328125
787.939453125,1400.244140625
783.10546875,1400.244140625
