"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.264803042E0,7.825192995E-3,2.273946442E-2,-2.746543288E-1
2.274853042E0,2.601250540E-3,1.094708592E-2,-3.814134300E-1
2.284902042E0,-2.744246041E-3,1.039327122E-3,-3.154746294E-1
2.294952042E0,2.313095145E-3,1.400747616E-2,-3.037787080E-1
2.305002042E0,7.959263399E-3,1.036693528E-2,-3.393814266E-1
2.315051042E0,5.600768141E-3,2.162491530E-2,-6.170271635E-1
2.325101042E0,5.525399931E-3,8.335475810E-3,-8.156720996E-1
2.335151042E0,1.196264382E-2,8.094972931E-3,-6.115661263E-1
2.345200042E0,1.421354804E-2,1.407909580E-2,-8.669001460E-1
2.355250042E0,-2.033525612E-3,1.145374402E-2,-5.894618630E-1
2.365300042E0,2.117011230E-3,3.432843462E-2,-7.943338156E-1
2.375349042E0,1.441341359E-2,6.565133482E-2,-7.439762354E-1
2.385399042E0,2.569776028E-2,7.233400643E-2,-8.350262642E-1
2.395449042E0,3.738323599E-2,1.062473506E-1,-9.614269137E-1
2.405499042E0,2.377155423E-2,6.546449661E-2,-9.532797933E-1
2.415548042E0,-2.508869581E-2,-8.146395534E-2,-6.431143880E-1
2.425598042E0,-6.062007509E-3,-1.025502756E-2,-3.856772780E-1
2.435648042E0,7.488684263E-3,1.898462884E-3,-6.505048275E-1
2.445697042E0,2.701951005E-2,7.041014731E-2,-6.718234420E-1
2.455747042E0,2.978402376E-2,8.406887203E-2,-7.021073699E-1
2.465797042E0,5.547047779E-2,1.289292872E-1,-7.761490941E-1
2.475846042E0,4.333331063E-2,7.944239676E-2,-8.418727517E-1
2.485896042E0,2.466801554E-2,-1.038139835E-1,-6.626291871E-1
2.495946042E0,1.583509445E-1,-1.097149253E-1,-3.850657344E-1
2.505995042E0,1.569930017E-1,-9.212341160E-2,-4.564872086E-1
2.516045042E0,7.414209191E-3,2.250103652E-2,-7.570526600E-1
2.526095042E0,8.103702217E-3,-1.160084270E-3,-7.378991842E-1
2.536144042E0,-7.654584013E-3,-6.327191368E-4,-5.640062690E-1
2.546194042E0,-8.964059874E-3,-4.055518657E-4,-5.348113775E-1
2.556244042E0,-1.565993018E-2,-2.765959688E-2,-4.868271053E-1
2.566293042E0,3.447983414E-3,2.596182004E-2,-3.652631342E-1
2.576343042E0,-1.809548214E-2,-4.850792140E-2,-2.025329918E-1
2.586393042E0,-8.970960975E-3,-2.332587168E-2,-5.239365157E-3
2.596442042E0,2.286813408E-2,-1.974629797E-2,1.989336312E-1
2.606492042E0,3.267534077E-3,2.150479006E-3,4.296507537E-1
2.616542042E0,5.798344500E-4,5.307319574E-3,4.046750069E-1
2.626591042E0,-2.232729923E-3,-1.398701593E-2,-3.388011828E-4
2.636641042E0,-3.855232848E-3,-2.216827311E-2,-2.700843848E-2
2.646691042E0,-2.662669402E-3,-7.115020882E-3,-1.947380453E-1
2.656741042E0,2.901393455E-3,1.825890504E-2,-3.146102726E-1
2.666790042E0,4.132839385E-3,2.520043403E-2,-1.901604980E-1
2.676840042E0,7.772088051E-3,2.873052470E-2,1.031217873E-1
2.686890042E0,8.021892980E-3,1.505705714E-2,2.990691960E-1
2.696939042E0,8.409298956E-3,2.792561799E-2,2.834967375E-1
2.706989042E0,3.381346166E-2,8.910801262E-2,2.329001129E-1
2.717039042E0,-1.649695635E-1,-3.494205177E-1,3.947197497E-1
2.727087625E0,1.196526736E-2,4.559099674E-2,9.081498533E-2
2.737137625E0,4.183971789E-3,-3.611771856E-3,1.846176386E-1
2.747187625E0,3.867588472E-3,1.716680592E-3,3.529552519E-1
2.757236625E0,-7.000784390E-4,-1.404804178E-2,4.275222719E-1
2.767286625E0,5.589242559E-3,-4.488624167E-3,3.287927806E-1
2.777336625E0,-7.397592999E-4,-1.376920938E-2,1.755901575E-1
2.787385625E0,6.477141287E-3,-2.786026150E-2,3.260424361E-2
2.797435625E0,-9.656405076E-3,-1.528167725E-2,1.629315168E-1
2.807485625E0,-3.609733284E-2,2.099031024E-2,3.309900463E-1
2.817534625E0,-6.244204566E-2,8.887085319E-2,6.457645297E-1
2.827584625E0,-4.418500885E-2,6.757994741E-2,8.825048804E-1
2.837634625E0,-5.523990840E-2,8.548560739E-2,7.994759083E-1
2.847684625E0,-6.180751603E-3,1.002746820E-1,6.633540392E-1
2.857733625E0,2.289625350E-3,9.205419570E-3,5.012232065E-1
2.867783625E0,-3.050667048E-2,-2.378315665E-2,3.267781436E-1
2.877833625E0,3.529105708E-2,8.646188676E-2,2.302258015E-1
2.887882625E0,6.304971874E-2,1.654645503E-1,3.032363653E-1
2.897932625E0,1.483926475E-1,2.502736449E-1,5.137655139E-1
2.907982625E0,-4.180471599E-2,-3.788039088E-2,8.627632260E-1
2.918031625E0,1.601285301E-2,6.106139719E-2,9.250521660E-1
2.928081625E0,-2.353988402E-2,-5.984217394E-3,7.465063930E-1
2.938131625E0,-4.031277075E-2,-7.234425843E-2,5.550773740E-1
2.948180625E0,-1.115408633E-2,-4.234481230E-2,2.202452868E-1
2.958230625E0,-9.789038450E-4,1.020943001E-2,3.930421174E-2
2.968280625E0,8.562403731E-3,2.464935556E-2,1.262127459E-1
2.978329625E0,2.005235758E-3,-2.298101783E-2,2.844594121E-1
2.988379625E0,-1.280726679E-2,-2.185458317E-3,4.854559004E-1
2.998429625E0,-1.647485979E-2,-3.034444526E-2,5.424083471E-1
3.008478625E0,-1.437415835E-2,-8.194878697E-2,4.665748477E-1
3.018528625E0,-3.080867603E-2,1.183358114E-2,2.697933018E-1
3.028578625E0,8.687067777E-3,3.136813268E-2,4.600996077E-1
3.038627625E0,-5.275771953E-3,1.994087361E-2,5.671132207E-1
3.048677625E0,-5.589953437E-2,-7.565408945E-2,7.591663003E-1
3.058727625E0,-5.730522797E-2,-1.023685187E-1,7.765148878E-1
3.068776625E0,-1.998874731E-2,-4.248148203E-2,8.159725070E-1
